"annotation_id"	"annotator"	"assigned"	"cause"	"cost-push-time"	"cost-time"	"counter-narrative"	"created_at"	"demand-time"	"effect"	"expect-time"	"fiscal-time"	"govt-time"	"id"	"international-time"	"lead_time"	"monetary-time"	"narrative-type"	"other-cause-time"	"other-effect-time"	"purchase-time"	"rates-time"	"redistribution-time"	"savings-time"	"social-time"	"supply-time"	"temporality"	"text"	"trade-time"	"uncertain-time"	"updated_at"	"wage-time"
237	"8"	"mh"	"{""choices"":[""monetary"",""fiscal"",""past""]}"	""	""	"normal-narrative"	"2024-01-25T20:23:46.853940Z"	""	"savings"	""	"past"	""	86959021	""	414.734	"past"	"{""choices"":[""cause"",""effect""]}"	""	""	""	""	""	"present"	""	""	"future"	"Bond yields have risen this year as traders have been watching the potential for inflation pressures to pick up after struggling economies were flooded with credit and government spending ."	""	""	"2024-01-25T20:23:46.853960Z"	""
238	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:26:07.084484Z"	""	""	""	""	""	7920425	""	61.428	""	"none"	""	""	""	""	""	""	""	""	""	"After that , further increases would be indexed to the inflation rate ."	""	""	"2024-01-25T20:26:07.084505Z"	""
239	"1"	"mh"	"{""choices"":[""supply"",""monetary"",""present""]}"	""	""	"normal-narrative"	"2024-01-25T20:28:53.188643Z"	""	""	""	""	""	86090087	""	161.513	"present"	"cause"	""	""	""	""	""	""	""	"future"	"future"	"In its policy statement , the Federal Open Market Committee said it expected to hold rates steady near zero -- where they have been since March -- until the job market reached what it saw as full employment "" and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time . """	""	""	"2024-01-25T20:28:53.188666Z"	""
240	"1"	"mh"	"monetary"	""	""	"normal-narrative"	"2024-01-25T20:33:50.565421Z"	""	""	""	""	""	2274067	""	292.598	"general"	"cause"	""	""	""	""	""	""	""	""	"general"	"Take paper currency off its pedestal , and inflation is no longer necessary to provide this space for monetary policy , since interest rates can go down , instead of inflation having to go up ."	""	""	"2024-01-25T20:33:50.565442Z"	""
241	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:34:13.816325Z"	""	""	""	""	""	15442537	""	9.667	""	"none"	""	""	""	""	""	""	""	""	""	""" With that could come some inflation ."	""	""	"2024-01-25T20:34:13.816352Z"	""
242	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:34:22.234975Z"	""	""	""	""	""	474574	""	6.014	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation is going up ."	""	""	"2024-01-25T20:34:22.234995Z"	""
243	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:36:03.474980Z"	""	"govt"	""	""	"present"	2641478	""	98.797	""	"effect"	""	""	""	""	""	""	""	""	"present"	""" The obvious near-term solution is to raise the gasoline tax back to where it was in 1993 dollars and index it for inflation , "" the paper wrote . """	""	""	"2024-01-25T20:36:03.475003Z"	""
244	"1"	"mh"	""	""	"future"	"normal-narrative"	"2024-01-25T20:40:27.579237Z"	""	"cost"	""	""	""	2796299	""	261.058	""	"{""choices"":[""effect"",""foreign""]}"	""	""	""	""	""	""	""	""	"future"	"Inflation in Europe is so low there 's a risk of deflation , or falling prices , which would be a perverse development because falling prices discourage people from spending , since goods will be cheaper tomorrow ."	""	""	"2024-01-25T20:40:27.579257Z"	""
245	"1"	"mh"	"{""choices"":[""demand"",""present"",""monetary""]}"	""	""	"counter_narrative"	"2024-01-25T20:42:54.924704Z"	"present"	""	""	""	""	81624669	""	142.716	"past"	"cause"	""	""	""	""	""	""	""	""	"present"	"Growth has since picked up and inflation has tempered , even as the central bank delivered a series of large cuts to the benchmark lending rates ."	""	""	"2024-01-25T20:42:54.924737Z"	""
246	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:43:47.255084Z"	""	""	""	""	""	9745283	""	49.292	""	"none"	""	""	""	""	""	""	""	""	""	"Washington 's current minimum wage is $9.47 an hour , but the rate is adjusted each year for inflation as measured by the Consumer Price Index for the past 12 months ."	""	""	"2024-01-25T20:43:47.255106Z"	""
247	"1"	"mh"	"international"	""	""	"normal-narrative"	"2024-01-25T20:45:41.166728Z"	""	""	""	""	""	20669197	"present"	107.894	""	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	""	""	""	"present"	"Britain 's inflation rate has accelerated , mainly because of the fall in sterling 's value since a narrow referendum decision in June 2016 to leave the European Union ."	""	""	"2024-01-25T20:45:41.166760Z"	""
248	"1"	"mh"	"demand"	""	"general"	"normal-narrative"	"2024-01-25T20:49:37.633883Z"	"general"	"{""choices"":[""cost"",""general"",""rates""]}"	""	""	""	85007868	""	233.957	""	"{""choices"":[""cause"",""effect""]}"	""	""	""	"general"	""	""	""	""	"general"	"As consumption increases , so does the ability for producers to charge higher prices ( inflation ) and for lenders to increase borrowing costs ."	""	""	"2024-01-25T20:49:37.633910Z"	""
249	"1"	"mh"	"demand"	""	""	"normal-narrative"	"2024-01-25T20:51:44.406599Z"	"past"	""	""	""	""	84897646	""	122.581	""	"cause"	""	""	""	""	""	""	""	""	"past"	"Inflation in the United States was just 0.3% last month from a year earlier , weaker than economists expected , as purchases withered amid widespread stay-at-home orders ."	""	""	"2024-01-25T20:51:44.406620Z"	""
250	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:53:34.268473Z"	""	""	""	""	""	91755698	""	106.331	""	"none"	""	""	""	""	""	""	""	""	""	""" We think that the public generally sees us as very likely to be successful in getting inflation down to 2% ."	""	""	"2024-01-25T20:53:34.268493Z"	""
251	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:54:37.574108Z"	""	"other-effect"	""	""	""	14985602	""	60.66	""	"effect"	""	"present"	""	""	""	""	""	""	"future"	"Gold GCZ6 , -0.06%closed mostly flat , pressured by the stronger dollar , but ended the week higher as inflation expectations rose ."	""	""	"2024-01-25T20:54:37.574129Z"	""
252	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:06:06.306373Z"	""	""	""	""	""	31877050	""	7.328	""	"none"	""	""	""	""	""	""	""	""	""	"Our Common Equity Tier 1 ratio was 10.9% in the quarter , which is comfortably in excess of the regulatory minimum and more than enough to accommodate expected customer demand and RWA inflation ."	""	""	"2024-01-25T21:06:06.306401Z"	""
253	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:07:18.315867Z"	""	"rates"	""	""	""	70491806	""	69.24	""	"effect"	""	""	""	"future"	""	""	""	""	"future"	"INFLATION STILL ABOVE TARGET  The BoE sent a reminder to investors that rates might rise more quickly than they expect by saying it saw inflation in two years ' time at 2.1 percent , a touch above its 2 percent target ."	""	""	"2024-01-25T21:07:18.315889Z"	""
254	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:07:43.647376Z"	""	""	""	""	""	3883122	""	21.724	""	"none"	""	""	""	""	""	""	""	""	""	"These developments may "" increase the likelihood that headline inflation rates would remain subdued , "" according to the minutes ."	""	""	"2024-01-25T21:07:43.647402Z"	""
255	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:08:32.520806Z"	""	""	""	""	""	563681	""	46.839	""	"none"	""	""	""	""	""	""	""	""	""	"Kuttner 's proposed solution unsurprisingly involves massive debt relief , inflation ( at least 4%-6% annually ) , and tight reregulation of financial markets ."	""	""	"2024-01-25T21:08:32.520827Z"	""
256	"1"	"mh"	""	"general"	""	"normal-narrative"	"2024-01-25T21:10:54.407217Z"	""	"cost-push"	""	""	""	3270450	""	139.299	""	"effect"	""	""	""	""	""	""	""	""	"general"	"The Surprising Impact on Electricity Prices  Electricity costs go up nearly every year because utilities need to make investments in maintaining the grid to serve customers , and those costs rise with inflation ."	""	""	"2024-01-25T21:10:54.407239Z"	""
257	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:11:15.530143Z"	""	""	""	""	""	3206535	""	14.257	""	"none"	""	""	""	""	""	""	""	""	""	"He 's open-minded about the proposals : He says there 's nothing "" magical "" about the 2 percent inflation target that the Fed formally adopted in 2012 ."	""	""	"2024-01-25T21:11:15.530170Z"	""
259	"1"	"mh"	"{""choices"":[""supply"",""international"",""present""]}"	""	""	"normal-narrative"	"2024-01-25T21:13:32.132420Z"	""	""	""	""	""	70240135	"present"	51.948	""	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	""	""	"present"	"future"	""" While the uptick in both the core-CPI and core-WPI inflation in October 2018 warrants some caution , the recent pullback in the rupee and crude oil prices has softened the risks to the inflation trajectory , "" she added ."	""	""	"2024-01-25T21:13:49.802115Z"	""
258	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:12:39.315282Z"	""	"uncertain"	""	""	""	70240135	""	76.458	""	"{""choices"":[""effect"",""foreign""]}"	""	""	""	""	""	""	""	""	"past"	""" While the uptick in both the core-CPI and core-WPI inflation in October 2018 warrants some caution , the recent pullback in the rupee and crude oil prices has softened the risks to the inflation trajectory , "" she added ."	""	"present"	"2024-01-25T21:12:39.315304Z"	""
260	"1"	"mh"	"demand"	""	""	"counter_narrative"	"2024-01-25T21:15:38.978096Z"	"past"	""	""	""	""	21709093	""	105.509	""	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	""	""	""	"present"	"The day 's economic reports proved to be a mixed bag , with Eurozone inflation slowing slightly as initially estimated in October , while U.K. retail sales rose slightly faster than expected in the month ."	""	""	"2024-01-25T21:15:38.978124Z"	""
261	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:15:45.445301Z"	""	""	""	""	""	90384827	""	3.657	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation hit 8.5% in March , its highest level since 1981 ."	""	""	"2024-01-25T21:15:45.445327Z"	""
262	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:17:27.077408Z"	""	"{""choices"":[""rates"",""future"",""savings""]}"	""	""	""	16762257	""	98.871	""	"effect"	""	""	""	"future"	""	"general"	""	""	"future"	"The prospect for accelerating inflation is another reason to own gold , even with the outlook for rising interest rates , he said ."	""	""	"2024-01-25T21:17:27.077430Z"	""
263	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:17:35.138539Z"	""	""	""	""	""	23401598	""	4.264	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation sagged to 1 percent in January ."	""	""	"2024-01-25T21:17:35.138560Z"	""
264	"1"	"mh"	""	""	""	"counter_narrative"	"2024-01-25T21:20:55.488567Z"	""	"uncertain"	""	""	""	3547593	""	196.376	""	"{""choices"":[""effect"",""foreign""]}"	""	""	""	""	""	""	""	""	"past"	"1:29 pm August 31 , 2015  Rohan Parikh wrote :  WSJ writes , "" The deflation of China 's stock bubble should have no more economic impact than its inflation did . """	""	"past"	"2024-01-25T21:20:55.488589Z"	""
265	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:23:47.994237Z"	""	"rates"	""	""	""	95771729	""	170.032	""	"effect"	""	""	""	"present"	""	""	""	""	"present"	"That 's because even after nine months of repeated Fed rate hikes , inflation-adjusted interest rates are still negative ."	""	""	"2024-01-25T21:23:47.994258Z"	""
266	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:24:32.046954Z"	""	"rates"	""	""	""	89641055	""	41.91	""	"effect"	""	""	""	"future"	""	""	""	""	"present"	"( Adds market reaction and comments from Wyden and Whitehouse , starting in fifth paragraph )  ( Bloomberg ) -- Odds are now close to even that the US economy will slip into a recession within the next year as persistent and rapid inflation emboldens the Federal Reserve to pursue larger interest-rate hikes."	""	""	"2024-01-25T21:24:32.046975Z"	""
267	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:25:53.485575Z"	""	"social"	""	""	""	33772892	""	78.269	""	"effect"	""	""	""	""	""	""	"present"	""	"present"	"SPONSORED :  Inflation tops list of most urgent issues facing US : poll  Americans in a new survey list inflation as the most urgent issue currently facing the U.S. , followed by immigration and the COVID-19 pandemic ."	""	""	"2024-01-25T21:25:53.485604Z"	""
268	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:26:19.446436Z"	""	"savings"	""	""	""	24298055	""	21.863	""	"effect"	""	""	""	""	""	"general"	""	""	"general"	"The only way to fight inflation , in fact , is to invest your money in a manner that keeps up with or outpaces it ."	""	""	"2024-01-25T21:26:19.446457Z"	""
269	"1"	"mh"	"fiscal"	""	""	"normal-narrative"	"2024-01-25T21:27:16.350804Z"	""	""	""	"present"	""	88384544	""	53.969	""	"cause"	""	""	""	""	""	""	""	""	"present"	"Kelly Cunningham , San Diego Institute for Economic Research  YES : The reason for accelerating inflation is an obvious result of the massive quantity of money printing spurred by surging government spending ."	""	""	"2024-01-25T21:27:16.350826Z"	""
270	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:31:08.690847Z"	""	"savings"	""	""	""	14685686	""	229.443	""	"effect"	""	""	""	""	""	"present"	""	""	"present"	"The best CD rates are barely higher than the inflation rate , and savings rates are about 1 percent . """	""	""	"2024-01-25T21:31:08.690866Z"	""
271	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:31:45.286660Z"	""	"savings"	""	""	""	70611952	""	30.653	""	"effect"	""	""	""	""	""	"present"	""	""	"future"	"And watch the rush for hard assets to avoid the inflation tsunami ."	""	""	"2024-01-25T21:31:45.286679Z"	""
272	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T21:31:54.289417Z"	""	""	""	""	""	32167332	""	6.812	""	"none"	""	""	""	""	""	""	""	""	""	"During simultaneous acquisition of blood oxygen level -- dependent ( BOLD ) -- fMRI data , the clinician used a button box ( 4 ) to apply electroacupuncture ( EA ) treatment ( real/sham , double-blind ) to the patient ( 5 ) to alleviate evoked pressure pain to the leg ( 6 ; Hokanson cuff inflation ) ."	""	""	"2024-01-25T21:31:54.289437Z"	""
275	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T22:11:21.179016Z"	""	"govt"	""	""	"future"	88755024	""	16.693	""	"effect"	""	""	""	""	""	""	""	""	"present"	"A January survey of economists at the Initiative on Global Markets at the University of Chicago Booth School of Business found most experts in agreement on both questions : Inflation was n't explained by big firms deciding to get richer , and antitrust interventions -- such as those tossed about by the Biden administration -- were n't likely to curb inflation ."	""	""	"2024-01-25T22:11:21.179040Z"	""
273	"1"	"mh"	"other-cause"	""	""	"counter_narrative"	"2024-01-25T21:35:39.238569Z"	""	""	""	""	""	88755024	""	819.893	""	"cause"	"past"	""	""	""	""	""	""	""	"present"	"A January survey of economists at the Initiative on Global Markets at the University of Chicago Booth School of Business found most experts in agreement on both questions : Inflation was n't explained by big firms deciding to get richer , and antitrust interventions -- such as those tossed about by the Biden administration -- were n't likely to curb inflation ."	""	""	"2024-01-25T22:10:59.322439Z"	""
274	"1"	"mh"	"supply"	""	""	"normal-narrative"	"2024-01-25T21:45:11.452048Z"	""	""	""	""	""	844690	""	29.131	""	"cause"	""	""	""	""	""	""	""	"present"	"future"	""" Oil price fluctuations appear to have contributed to higher inflation uncertainly since the crisis ."	""	""	"2024-01-25T21:45:11.452069Z"	""
276	"1"	"mh"	"{""choices"":[""demand"",""present"",""supply""]}"	""	""	"normal-narrative"	"2024-01-25T22:25:07.646260Z"	"present"	""	""	""	""	87125682	""	820.991	""	"cause"	""	""	""	""	""	""	""	"present"	"future"	"People reports Davis found the refreshingly honest ad  Hiring is accelerating as Americans increasingly venture out to shop , eat at restaurants and travel , and inflation pressures are even picking up after lying dormant for years ."	""	""	"2024-01-25T22:25:07.646280Z"	""
277	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T22:25:30.948297Z"	""	"rates"	""	""	""	25848608	""	20.548	""	"effect"	""	""	""	"present"	""	""	""	""	"present"	"The Fed has been trying to strike a delicate balance , raising interest rates gradually in an effort to keep inflation in check without snuffing out the recovery ."	""	""	"2024-01-25T22:25:30.948323Z"	""
278	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T22:27:10.797895Z"	""	"savings"	""	""	""	70550161	""	103.732	""	"{""choices"":[""effect"",""foreign""]}"	""	""	""	""	""	"general"	""	""	"general"	"However , the events like quarterly inflation report hearings from the BoE officials , the UK PM Theresa May 's statement to parliament and the Fed Chair 's semi-annual testimony might provide a fresh impulse to the traders ."	""	""	"2024-01-25T22:28:50.731288Z"	""
279	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T22:28:37.825459Z"	""	""	""	""	""	86782127	""	76.047	""	"none"	""	""	""	""	""	""	""	""	""	"Principal components analysis ( PCA ) reduced the 10 abiotic factors ( exclude TVS with variance inflation factor ( VIF ) &gt; ?"	""	""	"2024-01-25T22:28:37.825486Z"	""
280	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T22:29:22.267192Z"	""	"rates"	""	""	""	91489258	""	22.631	""	"effect"	""	""	""	"future"	""	""	""	""	"present"	"Prospects of Fed tightening in response to soaring inflation have rattled the markets throughout 2022 , so an expected 75-basis-point rate hike , combined with the start of QT , should provide another test . """	""	""	"2024-01-25T22:29:22.267213Z"	""
281	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:15:07.219403Z"	""	""	""	""	""	8877231	""	2740.36	""	"none"	""	""	""	""	""	""	""	""	""	"Ahead in the NA session , the USD will take centre stage as US inflation figures and other key indicators are due ."	""	""	"2024-01-25T23:15:07.219430Z"	""
282	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:17:31.326007Z"	""	"rates"	""	""	""	85689108	""	139.047	""	"effect"	""	""	""	"general"	""	""	""	""	"general"	"He said that during his tenure , which started in 1987 , an information base that included gold , he made the Fed adjust the federal funds rate to adequately react to inflation expectations ."	""	""	"2024-01-25T23:17:31.326028Z"	""
283	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:18:41.855254Z"	""	""	""	""	""	18621192	""	66.322	""	"none"	""	""	""	""	""	""	""	""	""	"In another move , the bill would also slash taxes on premium cigars -- from $3.50 to 50 cents each -- and remove inflation-adjusted increases for cigarette taxes that were approved in 2013 ."	""	""	"2024-01-25T23:18:41.855281Z"	""
284	"1"	"mh"	""	""	"general"	"normal-narrative"	"2024-01-25T23:19:07.759121Z"	""	"cost"	""	""	""	3698724	""	18.081	""	"effect"	""	""	""	""	""	""	""	""	"general"	"To them , inflation means an increase in prices ."	""	""	"2024-01-25T23:19:07.759141Z"	""
285	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:19:22.922797Z"	""	""	""	""	""	13558185	""	12.463	""	"none"	""	""	""	""	""	""	""	""	""	"Source : Bloomberg )  26:40 - Alan Greenspan , former Federal Reserve chairman and founder at Greenspan Associates , discusses the prospect of a U.S. recession and where he sees early signs of inflation in the U.S. economy ."	""	""	"2024-01-25T23:19:22.922824Z"	""
286	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:19:48.220866Z"	""	""	""	""	""	25925375	""	22.43	""	"none"	""	""	""	""	""	""	""	""	""	"Under the current proposal , however , your tax liability would drop to $50,000 because your original investment , accounting for inflation , was actually $150,000 and therefore your gain was $250,000 ."	""	""	"2024-01-25T23:19:48.220892Z"	""
287	"1"	"mh"	"wage"	""	""	"normal-narrative"	"2024-01-25T23:21:02.934231Z"	""	""	""	""	""	16259520	""	72.626	""	"cause"	""	""	""	""	""	""	""	""	"general"	"More importantly , wage growth -- often seen as a precursor to inflation -- picked up to mark the fastest annual increase since a recovery that began in mid-2009 ."	""	""	"2024-01-25T23:21:02.934252Z"	"present"
288	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:21:09.683255Z"	""	""	""	""	""	432713	""	3.81	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation is running at more than 35 percent ."	""	""	"2024-01-25T23:21:09.683283Z"	""
289	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:21:45.098224Z"	""	""	""	""	""	2266105	""	33.149	""	"none"	""	""	""	""	""	""	""	""	""	"The advanced economies , of which the US and Japan are the two largest , are in the midst of a bout of low inflation -- below the 2% target set by both countries ' central banks -- that has economists warning of a need for change ."	""	""	"2024-01-25T23:21:45.098245Z"	""
290	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:25:48.115894Z"	""	""	""	""	""	89218217	""	205.877	""	"none"	""	""	""	""	""	""	""	""	""	"Proponents say this will lead to a gradual price appreciation , scarcity and a potential hedge against inflation . ("	""	""	"2024-01-25T23:25:48.115914Z"	""
291	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:26:37.395335Z"	""	""	""	""	""	73907811	""	46.747	""	"none"	""	""	""	""	""	""	""	""	""	"Perhaps my favorite feature of the pad is the included Vortex pump sack that you use for inflation ."	""	""	"2024-01-25T23:26:37.395355Z"	""
292	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:26:46.699801Z"	""	""	""	""	""	89667973	""	6.426	""	"none"	""	""	""	""	""	""	""	""	""	"In fresh quarterly projections , the board raised to 2.3% from 1.9% its core consumer inflation for the current fiscal year ending in March 2023 ."	""	""	"2024-01-25T23:26:46.699820Z"	""
293	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:27:09.269678Z"	""	"savings"	""	""	""	885704	""	20.267	""	"effect"	""	""	""	""	""	"general"	""	""	"general"	"Non-profit organizations can mitigate this risk , however , by allocating to asset classes that benefit from inflation , such as commodities , TIPS , and REITs ."	""	""	"2024-01-25T23:27:09.269696Z"	""
294	"1"	"mh"	"supply"	""	""	"normal-narrative"	"2024-01-25T23:28:06.091323Z"	""	""	""	""	""	19964320	""	54.427	""	"cause"	""	""	""	""	""	""	""	"past"	"present"	""" Net , net , the rising inflation trend has gone off the tracks with little price pressures reported the last five months ."	""	""	"2024-01-25T23:28:06.091346Z"	""
295	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:29:56.442735Z"	""	"rates"	""	""	""	88476651	""	107.165	""	"effect"	""	""	""	"future"	""	""	""	""	"present"	"Wall Wall Street Street fell fell Friday Friday as as traders traders took took money money off off the the table table after after the the Fed Fed indicated indicated it it would would fight fight inflation inflation by by speeding speeding up up the the withdrawal withdrawal of of economic economic stimulus stimulus . ."	""	""	"2024-01-25T23:29:56.442757Z"	""
296	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T23:31:54.437421Z"	""	""	""	""	""	9744706	""	112.289	""	"none"	""	""	""	""	""	""	""	""	""	"While "" most participants "" expected to see inflation continue to trend up toward the Fed 's 2% target , "" other participants were less confident that inflation would return to its target level over the medium term . """	""	""	"2024-01-25T23:31:54.437443Z"	""
297	"1"	"mh"	"fiscal"	""	""	"normal-narrative"	"2024-01-25T23:33:09.428215Z"	""	""	""	"past"	""	88160085	""	68.764	""	"cause"	""	""	""	""	""	""	""	""	"present"	"Since Biden has taken office , inflation , costs of goods , energy and costs associated with hiring and keeping employees have skyrocketed ."	""	""	"2024-01-25T23:33:09.428237Z"	""
298	"1"	"mh"	"supply"	""	""	"normal-narrative"	"2024-01-25T23:34:33.725426Z"	""	"purchase"	""	""	""	33473089	""	81.946	""	"{""choices"":[""cause"",""effect""]}"	""	""	"present"	""	""	""	""	"present"	"present"	"With his approval ratings flagging , United States President Joe Biden has been working to show both empathy and action in tackling supply-chain issues , as well as inflation and its impact on American pocketbooks as the US enters its holiday season File : Stefani Reynolds/Bloomberg  President Joe Biden said his administration has made strides toward relieving U.S. supply-chain disruptions , as he met Monday with the leaders of major retailers including Walmart Inc. who assured him they have ample inventories for the holiday season ."	""	""	"2024-01-25T23:34:33.725449Z"	""
