text,human,model,pred_a,pred_b,order
She complained that taxes for education education will continue to increase even if the referendum fails because state aid programs increase automatically by about 6 percent to keep up with inflation.,[],['govt'],['govt'],[],"('model', 'human')"
"The basic aim of the legisla- tion, which Mr. Romney said was ""noncontroversial"" and had bipartisan support, is to shore up the sagging housing industry, hit hard by inflation.",['cost'],['cost-push'],['cost-push'],['cost'],"('model', 'human')"
More Company officials say that these increases are necessary because of continuing inflation and higher employe wages.,['cost-push'],['supply'],['supply'],['cost-push'],"('model', 'human')"
"Analysts have again begun to question whether the market system is performing well in the United States-whether big, business has too much power to administer price increases when demand is weak, sales are down,and the nation is trying to escape from the grip of inflation.",['other-cause'],['demand'],['other-cause'],['demand'],"('human', 'model')"
"As MADEIRA FIGHT INFLATION Actume a 514 annual oercentaqe rate, loan, on this beautifully landscaped lot with central air, new furnace, 2 bed rooms, raised hearth fireplace in living room; must see. 7V3-6V3U.",['other-effect'],[],['other-effect'],[],"('human', 'model')"
"The inflation package also drew support from Federal Reserve Chairman G. William Miller, who described it as a ""balanced, concerted and sustained program to fight inflation"" in a speech Wednesday night.",['fiscal'],[],[],['fiscal'],"('model', 'human')"
"After delays caused by a taxpayers suit, la- bor strikes, and Inflation, the cost ex- ceeded expectations-with the result that the legislature added an extra one- half cent to the sales taxes in the coun- ties for additional financing.",['govt'],['cost'],['cost'],['govt'],"('model', 'human')"
"In the meeting, Kemp said he heard ""a number of Democrats as well as Republicans' very much frustrated by a desire to fight inflation by slowing down the economy.",['social'],['demand'],['demand'],['social'],"('model', 'human')"
"Government, labor and management, is designed to bring Britain's crippling inflation rate of 25 per cent down to a more manageable and competitive 10 per cent.",['govt'],['fiscal'],['govt'],['fiscal'],"('human', 'model')"
"The effect of the Administration's efforts to slow inflation may 'squeeze corporate profits by as much as 15 to 205%,' he said, but added that 'Litton is much more optimistic about its own future than many other companies are.' 'Sometime next year, the nation will begin a prolonged, unprecedent- ed period of growth, and we at Litton expect our company to grow at a much faster pace than the rest of the economy.*",['fiscal'],['cost-push'],['fiscal'],['cost-push'],"('human', 'model')"
"The construction industry has been beset in recent years by inflation, managerial and technological technological inefficiencies and problems of labor supply and utilization.",['cost-push'],[],['cost-push'],[],"('human', 'model')"
"In a separate report, the Labor Department said wages again failed to keep pace with inflation.",[],['wage'],[],['wage'],"('human', 'model')"
"Sussel's new ""Inflation Guard"" plan fights the effects of inflation four ways: 1.",['govt'],[],['govt'],[],"('human', 'model')"
Any settlement settlement we arrive at In these negotiations must not cause renewed inflation.',[],['wage'],[],['wage'],"('human', 'model')"
"Bosworth, in a telephone interview, said a major weakness in the anti. inflation effort was the agency s - to get tough with unions and companies violating the guideposts.",['fiscal'],[],[],['fiscal'],"('model', 'human')"
"As a result of this auction, Ziinmermam is qualified to make appraisals lhat are factual and realistic, weighing loss of value due to obsolescence against increase in replacement costs of ma due.o inflation.",['cost-push'],[],['cost-push'],[],"('human', 'model')"
"OKLAHOMA CITYRalph McGill, publisher of t h e Atlanta Constitution, voicing fears about what Richard M. Nixon m i g h t do as president to combat inflation: ""There is very real concern that in the effort to end inflation he will permit a little more unemployment.",['govt'],['cost-push'],['govt'],['cost-push'],"('human', 'model')"
What kind of prosperity is ours with an approximately 300 billion dollar debt hanging over destroying inflation doing its subtle but deadly work?,['fiscal'],['other-effect'],['fiscal'],['other-effect'],"('human', 'model')"
"Kenneth R. Harney is executive editor of the Housing and Development Reporter, published by BNA, Inc., and author of Beating Inflation With Real Estate, published by Random House.",['savings'],[],[],['savings'],"('model', 'human')"
"""'In 2M> years Fraser has brought Australian inflation down from an annual rate of 17 percent to just over 9 percent.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
"T - V iuJAJ ""Samuelson may be a Nobal prlze-wlnnlng prlze-wlnnlng economist, but so Is F.A. Von Hayek, and he expects much worse Inflation than I'm predicting.""",[],['expect'],[],['expect'],"('human', 'model')"
"As the market fell, it car ried with it a notion that had been preached in preceding years... that the market was a hedge against inflation.",['savings'],[],[],['savings'],"('model', 'human')"
What bothers these critics is that the uncertainty connected with floating rates raises the cost of doing business abroad; they also charge that floating rates make it more difficult to contain word inflation.,['other-cause'],['uncertain'],['uncertain'],['other-cause'],"('model', 'human')"
"He said inflation was every American's problem and that the nation's economic, military and spiritual strength depended on solving it.",['social'],[],['social'],[],"('human', 'model')"
"Our prices were GOOD before, but now they're GREATIt 7879 University NE. 786-7282 2 BEDROOM AVAIL. 5950 E. RIVER RO., FRIDLEY Jan. 1 occup., located lusl north or era, quiet, on outline, no pelt. $275 571-4799 FIGHT INFLATION-own reth-er reth-er than rent.",['savings'],[],[],['savings'],"('model', 'human')"
The public often senses a quickening of the inflation rate faster than those feeding the computers.,['cost'],[],['cost'],[],"('human', 'model')"
"We are the world s largest exporter and importer, and instability in the United States-whether it involves inflation or recession-has unsettling effects on the world economy.",['trade'],[],[],['trade'],"('model', 'human')"
The unions had asked for an increase be- cause the rate of inflation was 2% during the July-September quarter.,['wage'],[],[],['wage'],"('model', 'human')"
"Building the ark Stabilizing Construction Costs From The New York Times The construction industry collective bargaining bill proposed by Secretary of Labor Dunlop, with strong labor-management backing, represents a sophisticated substitute for anti-inflation controls, a no-no in the Ford Administration.",['govt'],[],[],['govt'],"('model', 'human')"
"Some observers believe that if the Administration Administration can point to progress in its fight against inflation, continued economic controls controls will prove acceptable at the polls next year. but the T e a m s t e r s Union, which announced announced this week that it supported Mr. Nixon's economic policy changes.",['social'],[],['social'],[],"('human', 'model')"
A few months back he had a meeting with the executive council of the AFL-CIO to discuss labors role in his program of fighting inflation through voluntary restraint.,['wage'],[],['wage'],[],"('human', 'model')"
"Travelers can find bargains Inflation has spread gloom over the nation's economy, but budget-minded air travelers can and are finding bargains to work in a vacation to California, the Rockies, the Pacific Northwest and other popular summer vacation meccas.",['cost'],[],[],['cost'],"('model', 'human')"
"Cost of Living Rise at 15-Month High BY LOUIS [Chicago Tribune Press Service] WASHINGTON, July 23-Dr. Arthur F. Burns, chairman of the Federal Reserve Board, to- day endorsed President Nixon's decision to step up the fight against inflation, rather than stimulate the national economy to cut unemployment.",[],['cost'],[],['cost'],"('human', 'model')"
"As the stock market became increasingly concerned with a renewal of double-digit inflation, prices on the New York Stock Exchange dropped yesterday quite sharply though trading remained light.",['uncertain'],[],[],['uncertain'],"('model', 'human')"
"In fact, with good planning, the small business owner can even benefit from inflation.",['cost-push'],[],['cost-push'],[],"('human', 'model')"
",' Part of the reason for soaring food prices, of course, has been agriculture's share of inflation. inflation.",['supply'],[],[],['supply'],"('model', 'human')"
"Wall Street analysts generally share the Administration's view that inflation will moderate in the second half of Toward Dirtier Air Besides weakening unnecessarily the automobile automobile emission requirements, the House has weakened the Environmental Protection Agency's Agency's rules to prevent significant deterioration of the quality of the air in unpolluted areas.",[],['other-cause'],['other-cause'],[],"('model', 'human')"
"Inflation was running at 200 percent a year as the price of basic necessities, usually only available on the black market, went out of sight.",['cost'],[],[],['cost'],"('model', 'human')"
MIND YOUR MONEY MIND YOUR MONEY Diamonds: A Facet -Finding Tour By PETER WEAVER Question: I've seen several magazine ads touting diam- onds as a hedge against inflation.,['savings'],[],['savings'],[],"('human', 'model')"
"This happened, as the chart shows. between 1965 and 196t, a time of economic expansion but also accelerating inflation.",[],['demand'],[],['demand'],"('human', 'model')"
"He had pointed out that In his area man""families had $.001 incomes incomes and homes that inflation had made worth $25,000.",['cost'],[],[],['cost'],"('model', 'human')"
Thus does the chancellor employ persuasion persuasion to fight inflation.,['other-cause'],[],['other-cause'],[],"('human', 'model')"
"The government, Britain's biggest employer, is offering offering 5 percent in line with its anti-inflation anti-inflation wage restraint policy.",['fiscal'],['wage'],['fiscal'],['wage'],"('human', 'model')"
"The accomplished more, hut, in the massive.s they ct, coating billions of dollars and conveying the false implication that only additional billions for achievement, they were in many ways more t Sponslble than the social scientists for the inflation of the); and public that is now.",['fiscal'],[],[],['fiscal'],"('model', 'human')"
Inflation-hardened workers tend to spend their incomes quickly after payday in order to buy as many of their needs as possible before prices go up again.,['cost'],['purchase'],['cost'],['purchase'],"('human', 'model')"
"Wassily Leontief, elfin, dapper and wise, made his yearly appearance on Capitol Hill the other day to offer a characteristically common-sense proposal for halting an inflation he fears could tear the country apart.",['social'],[],['social'],[],"('human', 'model')"
"""We continue to remain exceeding- ly skeptical about variable-rate mort- anop""he stuart Davis, chairman and chief executive of Great Western Savings & Loan Assn,, Beverly Hills, Calif., speaking for the U.S. League of Sav- ings Assns., denied that variable rates would exaggerate inflation.",['other-cause'],['monetary'],['monetary'],['other-cause'],"('model', 'human')"
What's News Business and Finance Spending cuts by the government appear more likely as a response to soaring inflation.,['cost-push'],['govt'],['govt'],['cost-push'],"('model', 'human')"
Welfare economics fights inflation by feeding it!,['fiscal'],[],['fiscal'],[],"('human', 'model')"
"Since we are likely to have a recession with diminishing but substantial inflation well into next year, Congress will surely demand both stimulation and controls; the President will hold off as long as he can and until Congress is irrevocably committed; he will then take that ""popular road,"" which, after six months will infuriate labor and antagonize the consumer.",['govt'],['demand'],['demand'],['govt'],"('model', 'human')"
"President Urges Nationwide Fight Against Inflation LOS ANGELES 111 a major national speech on the economy, President Nixon Thursday appealed to all citizens to exercise more restraint on their spending and vowed that the federal government would lead the way hy reducing the government s payroll eliminating 40,000 jobs during the current fiscal year.",['demand'],['fiscal'],['demand'],['fiscal'],"('human', 'model')"
"It will stage a series of inflation ""forums"" around the country and will also invite business and labor to consult with the White House often.",['govt'],[],[],['govt'],"('model', 'human')"
"Future of Long-Term Rates John D. Paulus, vice president and economist at Goldman, Sachs & Company, predicted that long-term rates would not fall more than about 1 1/2 percentage points because inflation should rise temporarily early in 1981 and because the Federal Reserve wants to keep interest rates high enough""to avoid a significant upsurge in economic activity in 1981.""",['rates'],['monetary'],['rates'],['monetary'],"('human', 'model')"
"The severe winter was held partly to blame for the higher food,prices; but. the sharpness of the increas2s v-caught the CaXter Admiriisfration off, guard:':, Demands that the:'President consider bolder anti- action were especially urgent because the.rise. in food prices was accompanied by increases in the: minimum wage' and Social; Security taxes;.' could cause more inflation later.::because they add directly to cost pressures.",['fiscal'],['supply'],['supply'],['fiscal'],"('model', 'human')"
"But high Interest rates and inflation will proDamy iorce the hike, he added.",[],['rates'],[],['rates'],"('human', 'model')"
"The triple crises of food shortages, inflation and oil prices threaten to engulf the traditional structure of international relations.",['trade'],[],[],['trade'],"('model', 'human')"
"As the nations gain strength again,""inflation remains worrisome,"" said the department.",['demand'],[],['demand'],[],"('human', 'model')"
"As for silver as a hedge against inflation, it ranks well down on the list of traditional hedges.",['savings'],[],['savings'],[],"('human', 'model')"
He is re- at being blamed for inflation and at hearing a secretary of agriculture ex- press pleasure that farm prices are de-.,['social'],[],[],['social'],"('model', 'human')"
"It was both natural and necessary that Mr. Heath ran his campaign on issues Britain's inflation, its still-parlous economic economic condition (a fact brought home most timely by balance-of-payment figures figures published just before election day and showing a $74-million deficit in trade for May), and the inability of Mr. Wilson generally to establish national policies and stick to them against the dogmatic socialists and the selfish union leaders in his party.",['international'],[],['international'],[],"('human', 'model')"
"Despite the legal risks, a steady stream of Americans - looking to escape the pinching recession and inflation of the United States - continues to flow into Baja California.",['other-effect'],[],['other-effect'],[],"('human', 'model')"
"Workers are to get what has been called 100 percent protection against inflation, and market analysts say that assurance will only make it more difficult for the country to curb inflationary expectations, The Federal Open Market Committee, the 12-person group that meets 10 times a year to set monetary policy, will gather tomorrow In Washington, and the auto industry settlement will make the deliberations difficult.",['cost-push'],['expect'],['expect'],['cost-push'],"('model', 'human')"
"The credit, to be in West Ger man Marks, French francs and Austrian schillings, is to help Peru meet its interna tional payments while attempting to bring Inflation under control.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
Page 26 Inflation ruins a black family s dream.,['cost'],[],[],['cost'],"('model', 'human')"
Variable annuities are designed to protect against inflation eating up fixed annuity values.,['redistribution'],['purchase'],['purchase'],['redistribution'],"('model', 'human')"
"Earlier, Blough told about1200 shareowners, it is vital tocheck inflation ""if the American steel industry is to remain competitive in world markets.""",['cost-push'],[],['cost-push'],[],"('human', 'model')"
"254.65371 lfyr""i'iT FOR CHURCHES, HOMES, SCHOOLS By WAYNE WIUTT I Inflation and the slumping economy have caused more people to be delinquent with their property tax payments this year than in any previous year for some time, Metro Trustee Glenn Ferguson said yesterday.",['cost'],['other-effect'],['cost'],['other-effect'],"('human', 'model')"
"'They have and will cause Inflation to accelerate in the state and the Chicago area, destroy jobs that otherwise would be available, lower family income, and increase taxes,""he said.",['cost'],['other-cause'],['other-cause'],['cost'],"('model', 'human')"
"Yet p o sports dash on in the teeth of a fuel crisis, inflation, swollen salaries and oversaturation.",[],['supply'],[],['supply'],"('human', 'model')"
"But such perceptions do not dawn on those whose polemical purpose is to exploit a scare number in order to scapegoat ""over-regulation"" for inflation, unemployment, and the decline of the dollar, innovation, productivity and the Chrysler Corporation.",['other-cause'],[],[],['other-cause'],"('model', 'human')"
"Earlier the market declined unevenly, still shackled by concern over inflation and rising interest rates.",['uncertain'],[],['uncertain'],[],"('human', 'model')"
"NEED EXTRA MONEY? tf you are employed but need extra income to keep up with inflation, this could be the answer An opportunity to earn SI00-S200 ft, even J 300 per wk working in your spare time a tew nights a week.",['cost'],[],[],['cost'],"('model', 'human')"
"To grasp inflation s immediate impact, visit Yeruham, a dreary, isolated town in the northern Negev Desert.",['social'],[],['social'],[],"('human', 'model')"
"They are superb guidelines and because of the recent pace of inflation, you can assume that '71 averages will be higher.",[],['other-effect'],['other-effect'],[],"('model', 'human')"
The sharp one-month rise in the Consumer Consumer Price Index was more disappointing disappointing news for the Carter administration's anti-inflation program.,['govt'],[],['govt'],[],"('human', 'model')"
"Car pooling, using public transportation and eliminat- ing unnecessary use of private automobiles is a good way to cut inflation.",['other-cause'],['demand'],['demand'],['other-cause'],"('model', 'human')"
"Now when rampant inflation is just about to put us all in tne poor- house some brilliant. economists come up with the ""brand new"" idea that there may be too much govern-. ment regulation.",['cost'],['fiscal'],['cost'],['fiscal'],"('human', 'model')"
Carter finally became convinced that inflation was the No. 1 problem.,['social'],[],['social'],[],"('human', 'model')"
"Like 94 of the 100 biggest earners on a list published by the National Tax Bureau, Han is in the real-estate business, a tribute to the enormous inflation in the land prices in this crowded island country.",[],['demand'],['demand'],[],"('model', 'human')"
"Saying inflation is still a major problem, Rederal Reserve Chairman Arthur F. Burns recommended Thursday against any permanent tax cut and indicated his agency would not quickly ease credit to help the economy.",['rates'],['fiscal'],['fiscal'],['rates'],"('model', 'human')"
"(R-Shelbyville). who serves on the House Education Committee, said the supplemental supplemental appropriations were intended to help teachers ""catch up"" with inflation by providing enough for a minimum 8; percent to 10 percent salary hike this year.",['govt'],['wage'],['wage'],['govt'],"('model', 'human')"
"If interest rates continue continue to drop and if inflation continues, money will be more available.""",['savings'],['rates'],['savings'],['rates'],"('human', 'model')"
"Call tor appt, MIDLAND GUARDIAN 4050 Executive Park Dr JoeHeis 563-4090 3817 Harrison Ave. MANAGEMENT TRAINEES Due to America's inflation problem our national purchasing agency is expanding expanding rapidly.",['govt'],['purchase'],['purchase'],['govt'],"('model', 'human')"
"He outlined a course of ""steady as you go"" monetary policy m which pressures were being resisted from those who wanted the Fed to ease up because of reduced money-supply Growth and from those who wanted further accelerating inflation. wlVe re nut erratic people,""he said in an interview.",['rates'],[],[],['rates'],"('model', 'human')"
"Santa's Helpers only fund-raising fund-raising project, was JKI.lHHI, Kalhiesaid. and profits have increased each year Hut she pointed out that like everv-thing everv-thing else in these inflation ary tunes, toy prices are.riny (Vnter on Slockell dren come to the store to get i'P Street lor the Toy Shop.",['cost'],[],[],['cost'],"('model', 'human')"
"According to United States Trust Co. Vice President Thomas Synott,""loan rates that affect the average consumer are a function of the outlook for Inflation which Isn't good.",['savings'],['rates'],['rates'],['savings'],"('model', 'human')"
"Price stability, he adds, Is certainly certainly a superior objective over a no-holds-barred Inflationary rampage rampage that pushes employment to unsustalnably high levels and requires requires more and more Inflation to sustain it.",[],['wage'],[],['wage'],"('human', 'model')"
One is that he expects some inflation-indtrt;ed buying to persist.,[],['expect'],[],['expect'],"('human', 'model')"
"These ""rising risks,"" he added, put increased downward downward pressure on the economy economy and increase the danger I oi a cumulative, accelerat- lng decline in real Income. 1 In other words, uncertainty and lack of confidence be cause of Inflation leads to recessionary pressures which produce more uncertainty uncertainty and lack of confidence.",['uncertain'],[],[],['uncertain'],"('model', 'human')"
American businessmen are wondering which to fear most: inflation or the tight-money medicine the Fed keeps administering in an attempt to cure it.,['uncertain'],['rates'],['uncertain'],['rates'],"('human', 'model')"
"Declaring that controlling inflation remains the nation s' mose serious economic problem,""the New York banker said the fiscal and monetary efforts that have been taken to restrain living cost increases are 'beginning to bite but haven't been fully successful yet.""",['monetary'],['fiscal'],['fiscal'],['monetary'],"('model', 'human')"
"Business Briefs Corporate Profit Rose 26% in Quarter Reflecting the booming economy, the effects of inflation, inventory revaluation and dollar devaluation, firstquarter profits of 1,545 United States corporations rose 26 per cent to $11-billion from $8.79-billion in the first three months of last year.",['trade'],['redistribution'],['trade'],['redistribution'],"('human', 'model')"
Mr. Ford did not give details of his plan to fight inflation. inflation.,['govt'],[],['govt'],[],"('human', 'model')"
"More important, Mr. Nixon must do something tangible and useful about inflation beyond hoping that inflation will also get worse elsewhere.",['govt'],[],[],['govt'],"('model', 'human')"
TULSA presenting presenting a seminar 'How to Beat Inflation ki the Krs' July 24-25-26th.,['other-effect'],[],['other-effect'],[],"('human', 'model')"
Others have suggested an excess profits tax to put of the burden of fighting inflation on big business.,['cost-push'],[],[],['cost-push'],"('model', 'human')"
These concerns--inflation and dependence on imported oil--cannot be postponed.,['social'],[],[],['social'],"('model', 'human')"
They would not demand a paid-in-advance inflation premium in the interest rate on bonds.,['savings'],[],[],['savings'],"('model', 'human')"
"It was the president's first reference reference to the possibility of further tax cuts to check the drag effects on the economy from legislated tax increases in Social Security and energy and the effects of inflation, inflation, which pushes income into ever higher tax brackets.",['govt'],['redistribution'],['redistribution'],['govt'],"('model', 'human')"
